ID,カテゴリー,サブカテゴリー,カテゴリID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
,,テレビゲーム,81,キャラクターグッズ,ぬいぐるみ,小物/アクセサリー,模型/プラモデル,ミニカー,トイラジコン,プラモデル,ホビーラジコン,鉄道模型,その他,,,,,,,,,,,,,,,,,,,
6,おもちゃ・ホビー・グッズ,おもちゃ,82,アイドル,ミュージシャン,タレント/お笑い芸人,スポーツ選手,その他,,,,,,,,,,,,,,,,,,,,,,,,
,,タレントグッズ,83,ストラップ,キーホルダー,バッジ,カード,クリアファイル,ポスター,タオル,その他,,,,,,,,,,,,,,,,,,,,,
,,コミック/アニメグッズ,84,遊戯王,マジック：ザ・ギャザリング,ポケモンカードゲーム,デュエルマスターズ,バトルスピリッツ,プリパラ,アイカツ,カードファイト!!,ヴァンガード,ヴァイスシュヴァルツ,プロ野球オーナーズリーグ,ベースボールヒーローズ,ドラゴンボール,スリーブ,その他,,,,,,,,,,,,,,
,,トレーディングカード,85,コミック/アニメ,特撮,ゲームキャラクター,SF/ファンタジー/ホラー,アメコミ,スポーツ,ミリタリー,その他,,,,,,,,,,,,,,,,,,,,,
,,フィギュア,86,エレキギター,アコースティックギター,ベース,エフェクター,アンプ,弦楽器,管楽器,鍵盤楽器,打楽器,和楽器,楽譜/スコア,レコーディング/PA機器,DJ機器,DTM/DAW,その他,,,,,,,,,,,,,,
,,楽器/器材,87,武具,使用済切手/官製はがき,旧貨幣/金貨/銀貨/記念硬貨,印刷物,ノベルティグッズ,その他,,,,,,,,,,,,,,,,,,,,,,,
,,コレクション,88,トイガン,個人装備,その他,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ミリタリー,89,陶芸,ガラス,漆芸,金属工芸,絵画/タペストリ,版画,彫刻/オブジェクト,書,写真,その他,,,,,,,,,,,,,,,,,,,
,,美術品,90,画材,額縁,その他,,,,,,,,,,,,,,,,,,,,,,,,,,
,,アート用品,91,トランプ/UNO,カルタ/百人一首,ダーツ,ビリヤード,麻雀,パズル/ジグソーパズル,囲碁/将棋,オセロ/チェス,人生ゲーム,野球/サッカーゲーム,スポーツ,三輪車/乗り物,ヨーヨー,模型製作用品,鉄道,航空機,アマチュア無線,パチンコ/パチスロ,その他,,,,,,,,,,
,,その他,92,ファンデーション,化粧下地,コントロールカラー,BBクリーム,CCクリーム,コンシーラー,フェイスパウダー,トライアルセット/サンプル,その他,,,,,,,,,,,,,,,,,,,,
7,コスメ・香水・美容,ベースメイク,93,アイシャドウ,口紅,リップグロス,リップライナー,チーク,フェイスカラー,マスカラ,アイライナー,つけまつげ,アイブロウペンシル,パウダーアイブロウ,眉マスカラ,トライアルセット/サンプル,メイク道具/化粧小物,美顔用品/美顔ローラー,その他,,,,,,,,,,,,,
,,メイクアップ,94,ネイルカラー,カラージェル,ネイルベースコート/トップコート,ネイルアート用品,ネイルパーツ,ネイルチップ/付け爪,手入れ用具,除光液,その他,,,,,,,,,,,,,,,,,,,,
,,ネイルケア,95,香水(女性用),香水(男性用),ユニセックス,ボディミスト,その他,,,,,,,,,,,,,,,,,,,,,,,,
,,香水,96,化粧水/ローション,乳液/ミルク,美容液,フェイスクリーム,洗顔料,クレンジング/メイク落とし,パック/フェイスマスク,ジェル/ゲル,ブースター/導入液,アイケア,リップケア,トライアルセット/サンプル,洗顔グッズ,その他,,,,,,,,,,,,,,,
,,スキンケア/基礎化粧品,97,シャンプー,トリートメント,コンディショナー,リンス,スタイリング剤,カラーリング剤,ブラシ,その他,,,,,,,,,,,,,,,,,,,,,
,,ヘアケア,98,オイル/クリーム,ハンドクリーム,ローション,日焼け止め/サンオイル,ボディソープ,入浴剤,制汗/デオドラント,フットケア,その他,,,,,,,,,,,,,,,,,,,,
,,ボディケア,99,口臭防止/エチケット用品,歯ブラシ,その他,,,,,,,,,,,,,,,,,,,,,,,,,,
,,オーラルケア,100,エッセンシャルオイル,芳香器,お香/香炉,キャンドル,リラクゼーショングッズ,その他,,,,,,,,,,,,,,,,,,,,,,,
,,リラクゼーション,101,ダイエット食品,エクササイズ用品,体重計,体脂肪計,その他,,,,,,,,,,,,,,,,,,,,,,,,
,,ダイエット,102,健康用品,看護/介護用品,救急/衛生用品,その他,,,,,,,,,,,,,,,,,,,,,,,,,
,,その他,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,家電・スマホ・カメラ,スマートフォン/携帯電話,104,スマートフォン本体,バッテリー/充電器,携帯電話本体,PHS本体,その他,,,,,,,,,,,,,,,,,,,,,,,,
,,スマホアクセサリー,105,Android用ケース,iPhone用ケース,カバー,イヤホンジャック,ストラップ,フィルム,自撮り棒,その他,,,,,,,,,,,,,,,,,,,,,
,,PC/タブレット,106,タブレット,ノートPC,デスクトップ型PC,ディスプレイ,電子ブックリーダー,PC周辺機器,PCパーツ,その他,,,,,,,,,,,,,,,,,,,,,
,,カメラ,107,デジタルカメラ,ビデオカメラ,レンズ(単焦点),レンズ(ズーム),フィルムカメラ,防犯カメラ,その他,,,,,,,,,,,,,,,,,,,,,,
,,テレビ/映像機器,108,テレビ,プロジェクター,ブルーレイレコーダー,DVDレコーダー,ブルーレイプレーヤー,DVDプレーヤー,映像用ケーブル,その他,,,,,,,,,,,,,,,,,,,,,
,,オーディオ機器,109,ポータブルプレーヤー,イヤフォン,ヘッドフォン,アンプ,スピーカー,ケーブル/シールド,ラジオ,その他,,,,,,,,,,,,,,,,,,,,,
,,美容/健康,110,ヘアドライヤー,ヘアアイロン,美容機器,電気シェーバー,電動歯ブラシ,その他,,,,,,,,,,,,,,,,,,,,,,,
,,冷暖房/空調,111,エアコン,空気清浄器,加湿器,扇風機,除湿機,ファンヒーター,電気ヒーター,オイルヒーター,ストーブ,ホットカーペット,こたつ,電気毛布,その他,,,,,,,,,,,,,,,,
,,生活家電,112,冷蔵庫,洗濯機,炊飯器,電子レンジ/オーブン,調理機器,アイロン,掃除機,エスプレッソマシン,コーヒーメーカー,衣類乾燥機,その他,,,,,,,,,,,,,,,,,,
,,その他,113,その他,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,スポーツ・レジャー,ゴルフ,114,クラブ,ウエア(男性用),ウエア(女性用),バッグ,シューズ(男性用),シューズ(女性用),アクセサリー,その他,,,,,,,,,,,,,,,,,,,,,
,,フィッシング,115,ロッド,リール,ルアー用品,ウエア,釣り糸/ライン,その他,,,,,,,,,,,,,,,,,,,,,,,
,,自転車,116,自転車本体,ウエア,パーツ,アクセサリー,バッグ,工具/メンテナンス,その他,,,,,,,,,,,,,,,,,,,,,,
,,トレーニング/エクササイズ,117,ランニング,ウォーキング,ヨガ,トレーニング用品,その他,,,,,,,,,,,,,,,,,,,,,,,,
,,野球,118,ウェア,シューズ,グローブ,バット,アクセサリー,防具,練習機器,記念グッズ,応援グッズ,その他,,,,,,,,,,,,,,,,,,,
,,サッカー/フットサル,119,ウェア,シューズ,ボール,アクセサリー,記念グッズ,応援グッズ,その他,,,,,,,,,,,,,,,,,,,,,,
,,テニス,120,ラケット(硬式用),ラケット(軟式用),ウェア,シューズ,ボール,アクセサリー,記念グッズ,応援グッズ,その他,,,,,,,,,,,,,,,,,,,,
,,スノーボード,121,ボード,バインディング,ブーツ(男性用),ブーツ(女性用),ブーツ(子ども用),ウエア/装備(男性用),ウエア/装備(女性用),ウエア/装備(子ども用),アクセサリー,バッグ,その他,,,,,,,,,,,,,,,,,,
,,スキー,122,板,ブーツ(男性用),ブーツ(女性用),ブーツ(子ども用),ビンディング,ウエア(男性用),ウエア(女性用),ウエア(子ども用),ストック,その他,,,,,,,,,,,,,,,,,,,
,,その他スポーツ,123,ダンス/バレエ,サーフィン,バスケットボール,バドミントン,バレーボール,スケートボード,陸上競技,ラグビー,アメリカンフットボール,ボクシング,ボウリング,その他,,,,,,,,,,,,,,,,,
,,アウトドア,124,テント/タープ,ライト/ランタン,寝袋/寝具,テーブル/チェア,ストーブ/コンロ,調理器具,食器,登山用品,その他,,,,,,,,,,,,,,,,,,,,
,,その他,125,旅行用品,その他,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,ハンドメイド,アクセサリー(女性用),126,ピアス,イヤリング,ネックレス,ブレスレット,リング,チャーム,ヘアゴム,アンクレット,その他,,,,,,,,,,,,,,,,,,,,
,,ファッション/小物,127,バッグ(女性用),バッグ(男性用),財布(女性用),財布(男性用),ファッション雑貨,その他,,,,,,,,,,,,,,,,,,,,,,,
,,アクセサリー/時計,128,アクセサリー(男性用),時計(女性用),時計(男性用),その他,,,,,,,,,,,,,,,,,,,,,,,,,
,,日用品/インテリア,129,キッチン用品,家具,文房具,アート/写真,アロマ/キャンドル,フラワー/ガーデン,その他,,,,,,,,,,,,,,,,,,,,,,
,,趣味/おもちゃ,130,クラフト/布製品,おもちゃ/人形,その他,,,,,,,,,,,,,,,,,,,,,,,,,,
,,キッズ/ベビー,131,ファッション雑貨,スタイ/よだれかけ,外出用品,ネームタグ,その他,,,,,,,,,,,,,,,,,,,,,,,,
,,素材/材料,132,各種パーツ,生地/糸,型紙/パターン,その他,,,,,,,,,,,,,,,,,,,,,,,,,
,,二次創作物,133,Ingress,クリエイターズ宇宙兄弟,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,その他,134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,チケット,音楽,135,男性アイドル,女性アイドル,韓流,国内アーティスト,海外アーティスト,音楽フェス,声優/アニメ,その他,,,,,,,,,,,,,,,,,,,,,
,,スポーツ,136,サッカー,野球,テニス,格闘技/プロレス,相撲/武道,ゴルフ,バレーボール,バスケットボール,モータースポーツ,ウィンタースポーツ,その他,,,,,,,,,,,,,,,,,,
,,演劇/芸能,137,ミュージカル,演劇,伝統芸能,落語,お笑い,オペラ,サーカス,バレエ,その他,,,,,,,,,,,,,,,,,,,,
,,イベント,138,声優/アニメ,キッズ/ファミリー,トークショー/講演会,その他,,,,,,,,,,,,,,,,,,,,,,,,,
,,映画,139,邦画,洋画,その他,,,,,,,,,,,,,,,,,,,,,,,,,,
,,施設利用券,140,遊園地/テーマパーク,美術館/博物館,スキー場,ゴルフ場,フィットネスクラブ,プール,ボウリング場,水族館,動物園,その他,,,,,,,,,,,,,,,,,,,
,,優待券/割引券,141,ショッピング,レストラン/食事券,フード/ドリンク券,宿泊券,その他,,,,,,,,,,,,,,,,,,,,,,,,
,,その他,142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,自動車・オートバイ,自動車本体,143,国内自動車本体,外国自動車本体,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,自動車タイヤ/ホイール,144,タイヤ/ホイールセット,タイヤ,ホイール,その他,,,,,,,,,,,,,,,,,,,,,,,,,
,,自動車パーツ,145,サスペンション,ブレーキ,外装、エアロパーツ,ライト,内装品、シート,ステアリング,マフラー・排気系,エンジン、過給器、冷却装置,クラッチ、ミッション、駆動系,電装品,補強パーツ,汎用パーツ,外国自動車用パーツ,その他,,,,,,,,,,,,,,,
